,top-1 accuracy,top-3 accuracy,top-5 accuracy,top-10 accuracy,top-15 accuracy
c1,0.8401060070671378,0.8401060070671378,0.8401060070671378,0.8401060070671378,0.8401060070671378
s1,0.48498233215547704,0.5954063604240283,0.6245583038869258,0.6484098939929329,0.6484098939929329
s2,0.6263250883392226,0.7093639575971732,0.7367491166077739,0.7729681978798587,0.7729681978798587
r1,0.4540636042402827,0.5812720848056537,0.6634275618374559,0.741166077738516,0.7712014134275619
r2,0.6466431095406361,0.7985865724381626,0.8613074204946997,0.8975265017667845,0.9107773851590106
overall,0.28886925795053003,0.3471731448763251,0.36130742049469966,0.37720848056537104,0.3869257950530035
