,top-1 accuracy,top-3 accuracy,top-5 accuracy,top-10 accuracy,top-15 accuracy
c1,0.8524734982332155,0.8524734982332155,0.8524734982332155,0.8524734982332155,0.8524734982332155
s1,0.515017667844523,0.6475265017667845,0.6731448763250883,0.691696113074205,0.6934628975265018
s2,0.657243816254417,0.7561837455830389,0.7862190812720848,0.8153710247349824,0.8153710247349824
r1,0.4708480565371025,0.627208480565371,0.7040636042402827,0.7853356890459364,0.8162544169611308
r2,0.6413427561837456,0.8259717314487632,0.8833922261484098,0.926678445229682,0.9443462897526502
overall,0.3454063604240283,0.4134275618374558,0.43374558303886923,0.4584805653710247,0.4620141342756184
