global_step,train_loss,eval_loss,train_ppl,eval_ppl
138,0.6719103455543518,0.8310261480510235,1.9579741574018759,2.29567323264216
276,0.7270963788032532,0.8177510489606195,2.069064098695329,2.2653993321061336
414,0.6303362846374512,0.8271949593391683,1.8782420970361766,2.2868949017256757
552,0.576481282711029,0.8221247977473669,1.7797649102903763,2.275329319491788
690,0.43730008602142334,0.874789848509762,1.548520696754896,2.398371219717008
828,0.4435250461101532,0.8608599719074037,1.558190241328637,2.3651938196053415
966,0.46305856108665466,0.8952196804392669,1.5889263889475516,2.4478734803214937
1104,0.3842330873012543,0.9335147272795439,1.468487687625882,2.5434329593076366
1242,0.33422163128852844,0.9429959373341666,1.396852695532834,2.5676624624534554
1380,0.3573895990848541,1.0011759485221572,1.4295927293899349,2.721480268189684
1518,0.34405508637428284,1.0452155215251777,1.4106563413105953,2.8440114032802786
1656,0.32417353987693787,1.08457490367194,1.3828872723841745,2.9581820390971254
1794,0.25821802020072937,1.0998370587411854,1.294621041397301,3.003676561230722
1932,0.21416503190994263,1.1413461309340265,1.238827083924072,3.1309802390368917
2000,0.1795390397310257,1.1872260837505262,1.1966656206595314,3.2779757541295638
2070,0.19816870987415314,1.1806554083401959,1.219168062162354,3.2565078460117345
2208,0.16403348743915558,1.2165484362178378,1.1782537711335483,3.375516792202545
2346,0.09311878681182861,1.2497174381795857,1.0975921069917858,3.4893568591253423
2484,0.19591529667377472,1.268029336921043,1.216423865822948,3.5538422314501457
2622,0.17576490342617035,1.2890577986836433,1.192157753499258,3.6293653514626247
2760,0.14571885764598846,1.3257982730865479,1.1568708969191344,3.765189805341789
2898,0.15823043882846832,1.350757388294571,1.1714361079715734,3.8603482063015364
3036,0.09477222710847855,1.3568084206846025,1.0994084111722382,3.8837781144106494
3174,0.15224556624889374,1.3737416341900826,1.1644461499984085,3.95010291968515
3312,0.09148185700178146,1.387859292121397,1.0957968954710668,4.006264624580124
3450,0.13858868181705475,1.416101029349698,1.1486515415594156,4.1210213344434505
3588,0.06313682347536087,1.427065452457302,1.065172569874261,4.166454575469589
3726,0.09827470779418945,1.433091878063149,1.103265819203286,4.1916392144645975
3864,0.05461541935801506,1.4503191603968542,1.056134367729982,4.264475349639997
4000,0.09009189158678055,1.4680112180196576,1.0942748337361348,4.3405940560511445
4002,0.08014824986457825,1.4726146548572514,1.0834476767408827,4.360621769414232
4140,0.06898530572652817,1.492950240150094,1.071420465287354,4.450205345412846
4278,0.06893337517976761,1.4618613086640835,1.0713648272814495,4.313981711686136
4416,0.05287530645728111,1.4978414449012942,1.0542981727484064,4.472025530937754
4554,0.06488413363695145,1.4918350046500564,1.0670353837122786,4.445245084872616
4692,0.10399580746889114,1.5109678740716643,1.1095958028909088,4.5311142206396235
4830,0.06408822536468506,1.504506542450852,1.0661864593013757,4.501931569968405
4968,0.0707126334309578,1.5367691254036293,1.0732727588385702,4.649543884361808
5106,0.07482399791479111,1.5595906527919903,1.0776944577201482,4.756873633599608
5244,0.06707965582609177,1.5519957047783666,1.0693806571817075,4.720882274902166
5382,0.08624721318483353,1.5970733063295484,1.0900757761025526,4.938557607758257
5520,0.06254998594522476,1.5969637593047485,1.0645476700094672,4.938016633097148
5658,0.05516961216926575,1.5898073340455692,1.0567198320193583,4.902804233867209
5796,0.04707300662994385,1.6461179978731606,1.0481985317286049,5.186805504134293
5934,0.028741344809532166,1.632081021554768,1.029158362893149,5.114507051058338
6000,0.012493942864239216,1.6436960583345757,1.01257231823406,5.174258574890031
6072,0.03475460037589073,1.6296372761329014,1.0353655992928277,5.102023757075875
6210,0.03371832147240639,1.6312326923426654,1.0342932274989864,5.110170105160463
6348,0.027725474908947945,1.6220788100941315,1.0281134027509953,5.063605657632282
6486,0.05661088228225708,1.6474258510602846,1.0582439487992026,5.1935935221417955
6624,0.03655156120657921,1.6728386434002056,1.0372277833550156,5.327268569953867
6762,0.03685404732823372,1.6809883970353339,1.0375415778213177,5.370861892483262
6900,0.056522876024246216,1.7056171902351909,1.0581508208071893,5.504782116745246
7038,0.02788722515106201,1.7063713173071544,1.0282797137928739,5.508934987664123
7176,0.03831750527024269,1.7175206613416474,1.0390610878818822,5.570699677173069
7314,0.023872196674346924,1.714920636680391,1.024159418546425,5.5562345336457675
7452,0.045386385172605515,1.7354108167605267,1.0464321076565566,5.67125717280015
7590,0.026189638301730156,1.754137201441659,1.0265356004840618,5.778459943624797
7728,0.012478101998567581,1.726231326866481,1.0125562783390274,5.619436134128942
7866,0.01747528836131096,1.7516940699683294,1.0176288745629762,5.764359637733306
8000,0.04427225887775421,1.7428240724321868,1.0452668993447782,5.7134558738246355
8004,0.040862005203962326,1.745268593231837,1.0417083452959848,5.7274396203621825
8142,0.04259886220097542,1.7698740837060742,1.0435192158807483,5.870114171824135
8280,0.05199442803859711,1.7691238524599209,1.0533698731607366,5.865711880328748
8418,0.009666071273386478,1.7863709281923041,1.0097129386263262,5.967755706655832
8556,0.016943205147981644,1.791721102057232,1.017087555347627,5.999769801391125
8694,0.02714505046606064,1.7812662317107122,1.0275168337503418,5.937369746631576
8832,0.03625119850039482,1.797659449486269,1.0369162855945744,6.0355045165306525
8970,0.04960889741778374,1.8005281676434808,1.0508600219270012,6.052843536414725
9108,0.03827248141169548,1.8121876054339938,1.039014306395589,6.1238293120372695
9246,0.03162142634391785,1.838078003583683,1.032126695358009,6.2844479595337
9384,0.01897004060447216,1.7975582563214831,1.019151115008669,6.034893795628457
9522,0.012229104526340961,1.8189317780650325,1.0123041857717423,6.16526905540233
9660,0.010691002011299133,1.8088771510455344,1.0107483549779746,6.103590173273501
9798,0.0039168125949800014,1.8315839875075552,1.003924493330158,6.2437688817081485
9936,0.021179772913455963,1.8090498157673411,1.0214056562041065,6.10464413896152
10000,0.0066664195619523525,1.8215933164788618,1.0066886895964675,6.181700011936424
10074,0.043312232941389084,1.8262377729018529,1.0442638975418905,6.210477424250877
10212,0.00735892029479146,1.8412705682631996,1.0073860636899201,6.304543527250803
10350,0.03988413140177727,1.8312819964355893,1.0406901838934168,6.24188360393331
